,cumulative rewards
0,-653.0
1,-224.0
2,-262.0
3,-225.0
4,-469.0
5,-522.0
6,-190.0
7,-321.0
8,-933.0
9,-716.0
10,-629.0
11,-528.0
12,-282.0
13,-479.0
14,-420.0
15,-751.0
16,-278.0
17,-239.0
18,-161.0
19,-192.0
20,-263.0
21,-136.0
22,-376.0
23,-200.0
24,-155.0
25,-215.0
26,-488.0
27,-135.0
28,-246.0
29,-139.0
30,-134.0
31,-241.0
32,-511.0
33,-589.0
34,-210.0
35,-190.0
36,-207.0
37,-253.0
38,-323.0
39,-232.0
40,-180.0
41,-172.0
42,-279.0
43,-356.0
44,-238.0
45,-234.0
46,-145.0
47,-736.0
48,-227.0
49,-916.0
50,-336.0
51,-556.0
52,-303.0
53,-255.0
54,-137.0
55,-239.0
56,-288.0
57,-166.0
58,-754.0
59,-351.0
60,-256.0
61,-456.0
62,-150.0
63,-226.0
64,-285.0
65,-212.0
66,-473.0
67,-356.0
68,-138.0
69,-302.0
70,-600.0
71,-271.0
72,-257.0
73,-412.0
74,-311.0
75,-875.0
76,-139.0
77,-210.0
78,-153.0
79,-202.0
80,-186.0
81,-230.0
82,-138.0
83,-309.0
84,-157.0
85,-238.0
86,-222.0
87,-211.0
88,-198.0
89,-148.0
90,-183.0
91,-150.0
92,-189.0
93,-385.0
94,-550.0
95,-278.0
96,-214.0
97,-104.0
98,-184.0
99,-121.0
100,-276.0
101,-163.0
102,-142.0
103,-296.0
104,-190.0
105,-400.0
106,-168.0
107,-174.0
108,-202.0
109,-178.0
110,-111.0
111,-159.0
112,-315.0
113,-220.0
114,-120.0
115,-162.0
116,-174.0
117,-162.0
118,-202.0
119,-261.0
120,-128.0
121,-129.0
122,-172.0
123,-117.0
124,-190.0
125,-178.0
126,-183.0
127,-113.0
128,-125.0
129,-161.0
130,-108.0
131,-233.0
132,-126.0
133,-142.0
134,-154.0
135,-142.0
136,-206.0
137,-197.0
138,-237.0
139,-198.0
140,-111.0
141,-144.0
142,-173.0
143,-208.0
144,-273.0
145,-148.0
146,-107.0
147,-217.0
148,-378.0
149,-488.0
150,-619.0
151,-271.0
152,-394.0
153,-243.0
154,-164.0
155,-556.0
156,-216.0
157,-211.0
158,-437.0
159,-217.0
160,-176.0
161,-201.0
162,-183.0
163,-163.0
164,-143.0
165,-124.0
166,-239.0
167,-207.0
168,-204.0
169,-204.0
170,-224.0
171,-333.0
172,-120.0
173,-169.0
174,-246.0
175,-408.0
176,-442.0
177,-414.0
178,-275.0
179,-985.0
180,-418.0
181,-129.0
182,-358.0
183,-167.0
184,-193.0
185,-379.0
186,-322.0
187,-179.0
188,-194.0
189,-164.0
190,-239.0
191,-120.0
192,-143.0
193,-189.0
194,-112.0
195,-196.0
196,-131.0
197,-113.0
198,-129.0
199,-194.0
200,-114.0
201,-139.0
202,-133.0
203,-144.0
204,-195.0
205,-105.0
206,-138.0
207,-111.0
208,-194.0
209,-187.0
210,-240.0
211,-99.0
212,-241.0
213,-137.0
214,-97.0
215,-176.0
216,-184.0
