,cumulative rewards
0,14.0
1,15.0
2,29.0
3,27.0
4,15.0
5,27.0
6,21.0
7,29.0
8,16.0
9,30.0
10,18.0
11,22.0
12,22.0
13,33.0
14,27.0
15,25.0
16,12.0
17,12.0
18,16.0
19,11.0
20,17.0
21,20.0
22,18.0
23,11.0
24,10.0
25,60.0
26,13.0
27,17.0
28,16.0
29,10.0
30,13.0
31,16.0
32,30.0
33,12.0
34,12.0
35,12.0
36,20.0
37,15.0
38,51.0
39,27.0
40,24.0
41,15.0
42,18.0
43,13.0
44,16.0
45,49.0
46,28.0
47,32.0
48,16.0
49,14.0
50,16.0
51,14.0
52,12.0
53,18.0
54,17.0
55,53.0
56,21.0
57,24.0
58,38.0
59,30.0
60,34.0
61,21.0
62,23.0
63,23.0
64,11.0
65,36.0
66,14.0
67,27.0
68,40.0
69,31.0
70,21.0
71,18.0
72,14.0
73,15.0
74,35.0
75,30.0
76,64.0
77,41.0
78,41.0
79,51.0
80,13.0
81,11.0
82,29.0
83,30.0
84,10.0
85,35.0
86,16.0
87,18.0
88,15.0
89,24.0
90,12.0
91,49.0
92,23.0
93,28.0
94,30.0
95,10.0
96,12.0
97,39.0
98,68.0
99,33.0
100,39.0
101,21.0
102,61.0
103,33.0
104,42.0
105,30.0
106,47.0
107,34.0
108,44.0
109,34.0
110,40.0
111,53.0
112,27.0
113,43.0
114,23.0
115,22.0
116,27.0
117,21.0
118,25.0
119,36.0
120,22.0
121,19.0
122,71.0
123,52.0
124,36.0
125,54.0
126,10.0
127,25.0
128,30.0
129,107.0
130,92.0
131,13.0
132,16.0
133,35.0
134,23.0
135,13.0
136,37.0
137,54.0
138,12.0
139,23.0
140,120.0
141,116.0
142,28.0
143,74.0
144,71.0
145,107.0
146,41.0
147,61.0
148,113.0
149,19.0
150,126.0
151,79.0
152,73.0
153,156.0
154,95.0
155,70.0
156,124.0
157,161.0
158,47.0
159,117.0
160,124.0
161,56.0
162,160.0
163,140.0
164,22.0
165,176.0
166,143.0
167,138.0
168,105.0
169,120.0
170,12.0
171,213.0
172,141.0
173,183.0
174,251.0
175,68.0
176,104.0
177,96.0
178,133.0
179,227.0
180,216.0
181,193.0
182,262.0
183,206.0
184,231.0
185,343.0
186,153.0
187,174.0
188,290.0
189,195.0
190,170.0
191,180.0
192,178.0
193,212.0
194,163.0
195,149.0
196,158.0
197,158.0
198,224.0
199,157.0
200,154.0
201,180.0
202,188.0
203,156.0
204,155.0
205,173.0
206,168.0
207,194.0
208,184.0
209,196.0
210,172.0
211,177.0
212,187.0
213,175.0
214,158.0
215,166.0
216,206.0
217,171.0
218,170.0
219,195.0
220,183.0
221,204.0
222,159.0
223,185.0
224,187.0
225,198.0
226,194.0
227,157.0
228,180.0
229,213.0
230,193.0
231,163.0
232,62.0
233,226.0
234,268.0
235,194.0
236,154.0
237,144.0
238,134.0
239,318.0
240,169.0
241,159.0
242,173.0
243,212.0
244,184.0
245,178.0
246,153.0
247,193.0
248,156.0
249,272.0
250,195.0
251,149.0
252,166.0
253,173.0
254,185.0
255,181.0
256,166.0
257,156.0
258,143.0
259,162.0
260,229.0
261,178.0
262,170.0
263,155.0
264,150.0
265,220.0
266,149.0
267,184.0
268,136.0
269,161.0
270,162.0
271,185.0
272,175.0
273,172.0
274,172.0
275,172.0
276,87.0
277,224.0
278,143.0
279,136.0
280,154.0
281,24.0
282,190.0
283,14.0
284,30.0
285,80.0
286,22.0
287,147.0
288,41.0
289,175.0
290,20.0
291,164.0
292,176.0
293,180.0
294,136.0
295,174.0
296,153.0
297,163.0
298,170.0
299,95.0
300,101.0
301,247.0
302,181.0
303,311.0
304,226.0
305,201.0
306,283.0
307,219.0
308,289.0
309,177.0
310,192.0
311,184.0
312,206.0
313,188.0
314,199.0
315,216.0
316,191.0
317,186.0
318,171.0
319,266.0
320,56.0
321,42.0
322,236.0
323,181.0
324,221.0
325,181.0
326,201.0
327,246.0
328,257.0
329,192.0
330,200.0
331,217.0
332,275.0
333,242.0
334,233.0
335,137.0
336,24.0
337,20.0
338,305.0
339,242.0
340,476.0
341,165.0
342,205.0
343,208.0
344,208.0
345,210.0
346,181.0
347,362.0
348,272.0
349,210.0
350,209.0
351,332.0
352,203.0
353,226.0
354,236.0
355,246.0
356,293.0
357,325.0
358,228.0
359,223.0
360,412.0
361,282.0
362,237.0
363,335.0
364,227.0
365,294.0
366,411.0
367,269.0
368,252.0
369,368.0
