,cumulative rewards
0,38.0
1,10.0
2,24.0
3,22.0
4,15.0
5,39.0
6,19.0
7,22.0
8,14.0
9,27.0
10,24.0
11,17.0
12,23.0
13,28.0
14,20.0
15,17.0
16,40.0
17,10.0
18,18.0
19,23.0
20,19.0
21,44.0
22,73.0
23,37.0
24,84.0
25,32.0
26,11.0
27,40.0
28,26.0
29,28.0
30,25.0
31,17.0
32,34.0
33,27.0
34,27.0
35,22.0
36,20.0
37,28.0
38,49.0
39,13.0
40,19.0
41,23.0
42,24.0
43,20.0
44,13.0
45,14.0
46,53.0
47,52.0
48,23.0
49,62.0
50,28.0
51,18.0
52,12.0
53,31.0
54,23.0
55,18.0
56,18.0
57,13.0
58,40.0
59,14.0
60,29.0
61,49.0
62,15.0
63,17.0
64,15.0
65,15.0
66,47.0
67,20.0
68,25.0
69,30.0
70,13.0
71,18.0
72,44.0
73,39.0
74,14.0
75,15.0
76,15.0
77,27.0
78,29.0
79,19.0
80,28.0
81,12.0
82,35.0
83,22.0
84,47.0
85,12.0
86,67.0
87,15.0
88,20.0
89,16.0
90,21.0
91,25.0
92,23.0
93,20.0
94,15.0
95,28.0
96,53.0
97,33.0
98,14.0
99,15.0
100,18.0
101,27.0
102,13.0
103,18.0
104,13.0
105,11.0
106,16.0
107,27.0
108,25.0
109,28.0
110,74.0
111,57.0
112,38.0
113,12.0
114,84.0
115,89.0
116,100.0
117,25.0
118,28.0
119,61.0
120,63.0
121,39.0
122,46.0
123,130.0
124,45.0
125,43.0
126,74.0
127,37.0
128,29.0
129,21.0
130,37.0
131,67.0
132,104.0
133,25.0
134,32.0
135,89.0
136,126.0
137,143.0
138,28.0
139,120.0
140,22.0
141,95.0
142,19.0
143,245.0
144,288.0
145,114.0
146,52.0
147,171.0
148,173.0
149,66.0
150,127.0
151,217.0
152,119.0
153,158.0
154,164.0
155,156.0
156,210.0
157,249.0
158,262.0
159,154.0
160,245.0
161,267.0
162,199.0
163,218.0
164,292.0
165,205.0
166,326.0
167,205.0
168,304.0
169,237.0
170,180.0
171,267.0
172,192.0
173,215.0
174,220.0
175,317.0
176,203.0
177,283.0
178,248.0
179,211.0
180,238.0
181,197.0
182,217.0
183,212.0
184,186.0
185,214.0
186,196.0
187,192.0
188,193.0
189,266.0
190,269.0
191,330.0
192,187.0
193,218.0
194,175.0
195,222.0
196,195.0
197,185.0
198,173.0
199,187.0
200,161.0
201,191.0
202,183.0
203,325.0
204,198.0
205,223.0
206,183.0
207,179.0
208,239.0
209,233.0
210,197.0
211,213.0
212,245.0
213,224.0
214,280.0
215,197.0
216,193.0
217,166.0
218,220.0
219,177.0
220,203.0
221,206.0
222,186.0
223,262.0
224,198.0
225,222.0
226,238.0
227,243.0
228,239.0
229,195.0
230,208.0
231,190.0
232,192.0
233,200.0
234,203.0
235,193.0
236,232.0
237,263.0
238,215.0
239,198.0
240,214.0
241,237.0
242,166.0
243,181.0
244,233.0
245,243.0
246,194.0
247,197.0
248,258.0
249,258.0
250,303.0
251,232.0
252,199.0
253,178.0
254,204.0
255,208.0
256,176.0
257,198.0
258,220.0
259,209.0
260,198.0
261,159.0
262,224.0
263,205.0
264,206.0
265,244.0
266,208.0
267,264.0
268,219.0
269,182.0
270,194.0
271,220.0
272,170.0
273,188.0
274,248.0
275,160.0
276,172.0
277,165.0
278,156.0
279,142.0
280,186.0
281,179.0
282,177.0
283,153.0
284,173.0
285,152.0
286,173.0
287,151.0
288,144.0
289,193.0
290,160.0
291,191.0
292,220.0
293,197.0
294,133.0
295,133.0
296,163.0
297,158.0
298,131.0
299,126.0
300,139.0
301,165.0
302,179.0
303,176.0
304,165.0
305,183.0
306,156.0
307,228.0
308,189.0
309,239.0
310,174.0
311,188.0
312,174.0
313,188.0
314,194.0
315,176.0
316,169.0
317,180.0
318,220.0
319,201.0
320,200.0
321,181.0
322,172.0
323,186.0
324,178.0
325,181.0
326,187.0
327,177.0
328,386.0
329,294.0
330,261.0
331,276.0
332,230.0
333,229.0
334,210.0
335,196.0
336,220.0
337,221.0
338,243.0
339,225.0
340,228.0
341,220.0
342,221.0
343,212.0
344,210.0
345,215.0
346,198.0
347,192.0
348,202.0
349,223.0
350,233.0
351,261.0
352,253.0
353,211.0
354,171.0
355,174.0
356,177.0
357,179.0
358,183.0
359,176.0
360,176.0
361,175.0
362,192.0
363,192.0
364,193.0
365,179.0
366,198.0
367,222.0
368,207.0
369,202.0
370,215.0
371,185.0
372,204.0
373,201.0
374,213.0
375,199.0
376,218.0
377,188.0
378,214.0
379,191.0
380,186.0
381,202.0
382,211.0
383,204.0
384,210.0
385,209.0
386,207.0
387,197.0
388,218.0
389,225.0
390,219.0
391,211.0
392,226.0
393,219.0
394,203.0
395,215.0
396,195.0
397,209.0
398,217.0
399,217.0
400,206.0
