,cumulative rewards
0,-137.13060841515983
1,-359.86522720301593
2,-80.40082878177839
3,-26.651207822455234
4,-287.336189030208
5,-285.25280604288264
6,-77.935525235993
7,-161.35037237880704
8,-178.98038101232987
9,-272.0740786553348
10,-141.06205728516983
11,-245.8329459243259
12,-285.3219467467272
13,-196.15405358066712
14,-219.3978292391619
15,150.9928381614253
16,-65.63524409345116
17,-273.6745333600061
18,-109.30577340645712
19,-114.75157109419533
20,-119.40360467400171
21,-132.78297826153943
22,-121.80426950100134
23,-115.04298709567031
24,-117.09444077829306
25,-110.01263818862371
26,-124.28458311483453
27,-112.79671195650411
28,-119.39683975201052
29,-111.1564072171665
30,-96.59073607900032
31,-105.74292706426031
32,-148.7668225407789
33,-130.41223345406678
34,-122.28003705202634
35,-125.68411548958048
36,-117.72638092953792
37,-101.52434092341352
38,-125.07287998111752
39,-98.68992986743243
40,-109.64829406907427
41,-55.508024458797735
42,-65.31708053686677
43,-111.19560286630626
44,-118.2972684597441
45,167.7546323830212
46,-119.16632100056361
47,-99.7384116936336
48,-131.49532521135018
49,-157.65939560371612
50,-93.46162240788709
51,-192.11638925003962
52,-50.925705757123595
53,154.58627489718185
54,239.24900739161282
55,216.22192626444937
56,-113.72388082618689
57,181.2029322565803
58,196.59444585966259
59,257.75455032952505
60,192.04835457607825
61,277.5269469790044
62,-57.17144674517536
63,217.51030828571842
64,202.8447365531532
65,217.5941258001224
66,197.89008278855894
67,228.76350760400896
68,189.85968765305583
69,179.1941419134829
70,223.0278387746765
71,-0.0667283580059177
72,187.33361383196188
73,226.36827942585455
74,194.020442068435
75,197.39796680930328
76,184.67877018771355
77,232.78371397444988
78,168.1055584442751
79,174.31232442756993
80,207.7287173297392
81,251.77104532400213
82,203.91708723428582
83,203.40823392180124
84,160.0028232887799
85,200.52490768407148
86,146.49075399025793
87,240.80546668343518
88,276.1915388201563
89,256.8024608624955
90,284.90500308648836
91,296.0622606092535
92,273.46196538376535
93,271.35628309002266
94,252.96108082760014
95,217.2728482856137
96,263.34815506823196
97,270.73291869391176
98,239.06622628801063
99,269.3944266310398
100,214.95601713457427
101,276.6206581101211
102,150.31014390031854
103,132.79633873181848
104,184.77731070792248
105,171.7336903073102
106,164.86426534414318
107,-68.04256177729576
108,230.40164186265946
109,232.71230884361688
110,231.55577932947386
111,24.69118850332633
112,218.45934846346773
