,cumulative rewards
0,-796.0
1,-582.0
2,-817.0
3,-926.0
4,-749.0
5,-946.0
6,-968.0
7,-957.0
8,-760.0
9,-646.0
10,-818.0
11,-676.0
12,-986.0
13,-889.0
14,-768.0
15,-535.0
16,-727.0
17,-901.0
18,-946.0
19,-437.0
20,-621.0
21,-547.0
22,-410.0
23,-706.0
24,-852.0
25,-596.0
26,-552.0
27,-835.0
28,-572.0
29,-625.0
30,-513.0
31,-283.0
32,-532.0
33,-461.0
34,-408.0
35,-405.0
36,-197.0
37,-521.0
38,-637.0
39,-471.0
40,-497.0
41,-459.0
42,-402.0
43,-573.0
44,-330.0
45,-220.0
46,-503.0
47,-442.0
48,-290.0
49,-377.0
50,-245.0
51,-259.0
52,-481.0
53,-331.0
54,-367.0
55,-367.0
56,-765.0
57,-263.0
58,-374.0
59,-758.0
60,-346.0
61,-276.0
62,-352.0
63,-240.0
64,-199.0
65,-307.0
66,-256.0
67,-228.0
68,-145.0
69,-391.0
70,-237.0
71,-200.0
72,-245.0
73,-720.0
74,-387.0
75,-304.0
76,-311.0
77,-267.0
78,-305.0
79,-341.0
80,-310.0
81,-483.0
82,-298.0
83,-254.0
84,-313.0
85,-249.0
86,-738.0
87,-354.0
88,-740.0
89,-764.0
90,-706.0
91,-96.0
92,-92.0
93,-168.0
94,-514.0
95,-200.0
96,-205.0
97,-231.0
98,-319.0
99,-537.0
100,-203.0
101,-537.0
102,-767.0
103,-760.0
104,-223.0
105,-536.0
106,-152.0
107,-279.0
108,-384.0
109,-508.0
110,-344.0
111,-730.0
112,-254.0
113,-213.0
114,-368.0
115,-216.0
116,-197.0
117,-294.0
118,-242.0
119,-282.0
120,-254.0
121,-406.0
122,-290.0
123,-299.0
124,-373.0
125,-302.0
126,-285.0
127,-413.0
128,-276.0
129,-233.0
130,-350.0
131,-350.0
132,-208.0
133,-354.0
134,-211.0
135,-292.0
136,-288.0
137,-455.0
138,-327.0
139,-221.0
140,-203.0
141,-405.0
142,-209.0
143,-332.0
144,-397.0
145,-209.0
146,-227.0
147,-205.0
148,-379.0
149,-275.0
150,-275.0
151,-263.0
152,-335.0
153,-394.0
154,-427.0
155,-282.0
156,-528.0
157,-273.0
158,-263.0
159,-475.0
160,-380.0
161,-714.0
162,-570.0
163,-260.0
164,-255.0
165,-146.0
166,-302.0
167,-535.0
168,-394.0
169,-173.0
170,-230.0
171,-575.0
172,-307.0
173,-214.0
174,-236.0
175,-291.0
176,-150.0
177,-211.0
178,-941.0
179,-152.0
180,-157.0
181,-159.0
182,-154.0
183,-235.0
184,-217.0
185,-227.0
186,-165.0
187,-155.0
188,-211.0
189,-218.0
190,-283.0
191,-216.0
192,-410.0
193,-279.0
194,-579.0
195,-276.0
196,-519.0
197,-223.0
198,-277.0
199,-348.0
200,-220.0
201,-221.0
202,-161.0
203,-251.0
204,-276.0
205,-212.0
206,-278.0
207,-183.0
208,-239.0
209,-214.0
210,-212.0
211,-313.0
212,-436.0
213,-214.0
214,-291.0
215,-275.0
216,-266.0
