,cumulative rewards
0,-518.0
1,-816.0
2,-365.0
3,-82.0
4,-83.0
5,-95.0
6,-79.0
7,-85.0
8,-153.0
9,-89.0
10,-107.0
11,-92.0
12,-127.0
13,-75.0
14,-114.0
15,-90.0
16,-76.0
17,-76.0
18,-90.0
19,-174.0
20,-90.0
21,-175.0
22,-86.0
23,-95.0
24,-71.0
25,-84.0
26,-93.0
27,-155.0
28,-869.0
29,-379.0
30,-161.0
31,-230.0
32,-211.0
33,-150.0
34,-698.0
35,-779.0
36,-120.0
37,-320.0
38,-65.0
39,-145.0
40,-66.0
41,-222.0
42,-96.0
43,-84.0
44,-70.0
45,-70.0
46,-96.0
47,-93.0
48,-97.0
49,-122.0
50,-272.0
51,-712.0
52,-201.0
53,-117.0
54,-157.0
55,-932.0
56,-168.0
57,-144.0
58,-147.0
59,-103.0
60,-120.0
61,-97.0
62,-103.0
63,-118.0
64,-89.0
65,-94.0
66,-84.0
67,-84.0
68,-100.0
69,-71.0
70,-96.0
71,-81.0
72,-115.0
73,-95.0
74,-94.0
75,-86.0
76,-64.0
77,-94.0
78,-76.0
79,-63.0
80,-76.0
81,-77.0
82,-78.0
83,-100.0
84,-90.0
85,-156.0
86,-84.0
87,-89.0
88,-94.0
89,-100.0
90,-84.0
91,-88.0
92,-134.0
93,-103.0
94,-91.0
95,-119.0
96,-105.0
97,-78.0
98,-87.0
99,-101.0
100,-339.0
101,-315.0
102,-235.0
103,-148.0
104,-178.0
105,-631.0
106,-247.0
107,-132.0
108,-143.0
109,-123.0
110,-113.0
111,-106.0
112,-110.0
113,-79.0
114,-86.0
115,-121.0
116,-71.0
117,-78.0
118,-108.0
119,-72.0
120,-93.0
121,-84.0
122,-93.0
123,-82.0
124,-69.0
125,-86.0
126,-83.0
127,-70.0
128,-106.0
129,-81.0
130,-72.0
131,-163.0
132,-95.0
133,-105.0
134,-81.0
135,-130.0
136,-79.0
137,-79.0
138,-78.0
139,-77.0
140,-62.0
141,-94.0
142,-90.0
143,-142.0
144,-83.0
145,-95.0
146,-84.0
147,-142.0
148,-71.0
149,-94.0
150,-124.0
151,-135.0
152,-122.0
153,-92.0
154,-147.0
155,-116.0
156,-172.0
157,-195.0
158,-115.0
159,-69.0
160,-140.0
161,-83.0
162,-122.0
163,-111.0
164,-130.0
165,-108.0
166,-99.0
167,-137.0
168,-124.0
169,-131.0
170,-101.0
171,-92.0
172,-148.0
173,-121.0
174,-118.0
175,-122.0
176,-147.0
177,-120.0
178,-130.0
179,-93.0
180,-79.0
181,-79.0
182,-107.0
183,-90.0
184,-165.0
185,-95.0
186,-109.0
187,-124.0
188,-85.0
189,-107.0
190,-92.0
191,-99.0
192,-87.0
193,-102.0
194,-455.0
195,-97.0
196,-117.0
197,-215.0
198,-149.0
199,-76.0
200,-87.0
201,-102.0
202,-112.0
203,-94.0
204,-153.0
205,-183.0
206,-168.0
207,-101.0
208,-87.0
209,-70.0
210,-121.0
211,-94.0
212,-70.0
213,-121.0
214,-70.0
215,-81.0
216,-97.0
217,-149.0
218,-106.0
219,-62.0
220,-84.0
221,-63.0
222,-102.0
223,-95.0
224,-63.0
225,-98.0
226,-83.0
227,-79.0
228,-64.0
229,-145.0
230,-74.0
231,-100.0
232,-93.0
233,-84.0
234,-72.0
235,-170.0
236,-86.0
237,-79.0
238,-139.0
239,-196.0
240,-112.0
241,-141.0
242,-70.0
243,-128.0
244,-122.0
245,-111.0
246,-111.0
247,-111.0
248,-109.0
249,-107.0
250,-77.0
251,-129.0
252,-101.0
253,-112.0
254,-92.0
255,-86.0
256,-118.0
257,-124.0
258,-99.0
259,-128.0
260,-214.0
261,-106.0
262,-112.0
263,-91.0
264,-114.0
265,-69.0
266,-77.0
267,-84.0
268,-73.0
269,-84.0
270,-95.0
271,-101.0
272,-80.0
273,-96.0
274,-199.0
275,-108.0
276,-133.0
277,-172.0
278,-140.0
279,-93.0
280,-71.0
281,-70.0
282,-102.0
283,-161.0
284,-96.0
285,-141.0
286,-70.0
287,-113.0
288,-75.0
289,-106.0
290,-126.0
291,-86.0
292,-95.0
293,-79.0
294,-97.0
295,-91.0
296,-94.0
297,-78.0
298,-76.0
299,-95.0
300,-141.0
301,-76.0
302,-90.0
303,-84.0
304,-121.0
305,-79.0
306,-78.0
307,-70.0
308,-88.0
309,-62.0
310,-79.0
311,-72.0
312,-62.0
313,-72.0
314,-126.0
315,-71.0
316,-74.0
317,-82.0
318,-107.0
319,-177.0
320,-207.0
321,-125.0
322,-78.0
323,-209.0
324,-208.0
325,-162.0
326,-141.0
327,-154.0
328,-85.0
329,-85.0
330,-86.0
331,-129.0
332,-113.0
333,-95.0
334,-78.0
335,-98.0
336,-63.0
337,-76.0
338,-85.0
339,-87.0
340,-76.0
341,-75.0
342,-72.0
343,-96.0
344,-63.0
345,-72.0
346,-89.0
347,-94.0
348,-105.0
349,-101.0
350,-79.0
351,-75.0
352,-86.0
353,-75.0
354,-124.0
355,-71.0
356,-100.0
357,-100.0
358,-109.0
359,-145.0
360,-94.0
361,-74.0
362,-79.0
363,-105.0
364,-80.0
365,-91.0
366,-99.0
367,-87.0
368,-99.0
369,-101.0
370,-84.0
371,-102.0
372,-81.0
373,-103.0
374,-71.0
375,-90.0
376,-78.0
377,-94.0
378,-90.0
379,-96.0
380,-72.0
381,-84.0
382,-79.0
383,-79.0
384,-172.0
385,-75.0
386,-76.0
387,-72.0
388,-80.0
389,-71.0
390,-83.0
391,-114.0
392,-81.0
393,-100.0
394,-117.0
395,-106.0
396,-136.0
397,-94.0
398,-188.0
399,-108.0
400,-85.0
401,-84.0
402,-78.0
403,-104.0
404,-84.0
405,-100.0
406,-93.0
407,-78.0
408,-94.0
409,-200.0
410,-93.0
411,-101.0
412,-121.0
413,-116.0
414,-179.0
415,-113.0
416,-88.0
417,-109.0
418,-88.0
419,-103.0
420,-122.0
421,-310.0
422,-127.0
423,-140.0
424,-93.0
425,-87.0
426,-81.0
427,-92.0
428,-93.0
429,-114.0
430,-73.0
431,-111.0
432,-86.0
433,-154.0
434,-85.0
435,-84.0
436,-100.0
437,-88.0
438,-105.0
439,-102.0
440,-87.0
441,-85.0
442,-63.0
443,-105.0
444,-92.0
445,-74.0
446,-74.0
447,-86.0
448,-89.0
449,-95.0
450,-123.0
451,-99.0
452,-81.0
453,-110.0
454,-79.0
455,-87.0
456,-146.0
457,-78.0
458,-101.0
459,-107.0
460,-83.0
461,-71.0
462,-69.0
463,-104.0
464,-86.0
465,-150.0
466,-78.0
467,-73.0
468,-120.0
469,-78.0
470,-72.0
471,-70.0
472,-84.0
473,-113.0
474,-72.0
475,-152.0
476,-64.0
477,-110.0
478,-103.0
479,-100.0
480,-74.0
481,-72.0
482,-89.0
483,-106.0
484,-96.0
485,-89.0
486,-256.0
487,-157.0
488,-152.0
489,-134.0
490,-290.0
491,-236.0
492,-355.0
493,-90.0
494,-88.0
495,-64.0
496,-96.0
497,-70.0
498,-83.0
499,-103.0
500,-88.0
501,-90.0
502,-104.0
503,-131.0
504,-120.0
505,-137.0
506,-79.0
507,-160.0
508,-83.0
509,-284.0
510,-109.0
511,-191.0
512,-106.0
513,-86.0
514,-108.0
515,-125.0
516,-72.0
517,-81.0
518,-71.0
519,-71.0
520,-73.0
521,-79.0
522,-134.0
523,-128.0
524,-86.0
525,-127.0
526,-113.0
527,-220.0
528,-70.0
529,-88.0
530,-101.0
531,-98.0
532,-71.0
533,-63.0
534,-64.0
535,-93.0
536,-99.0
537,-94.0
538,-94.0
539,-64.0
540,-70.0
541,-93.0
542,-94.0
543,-78.0
544,-99.0
545,-99.0
546,-107.0
547,-69.0
548,-87.0
549,-71.0
550,-70.0
551,-85.0
552,-78.0
553,-77.0
554,-76.0
555,-78.0
556,-70.0
557,-103.0
558,-91.0
559,-73.0
560,-72.0
561,-72.0
562,-63.0
563,-87.0
564,-63.0
565,-88.0
566,-83.0
567,-65.0
568,-64.0
569,-115.0
570,-115.0
571,-70.0
572,-66.0
573,-99.0
574,-70.0
575,-81.0
576,-75.0
577,-85.0
578,-70.0
579,-101.0
580,-90.0
581,-69.0
582,-64.0
583,-105.0
584,-69.0
585,-62.0
586,-71.0
587,-99.0
588,-95.0
589,-64.0
590,-131.0
591,-98.0
592,-71.0
593,-95.0
594,-71.0
595,-106.0
596,-103.0
597,-212.0
598,-94.0
599,-83.0
600,-74.0
601,-80.0
602,-95.0
603,-103.0
604,-86.0
605,-100.0
606,-122.0
607,-105.0
608,-109.0
609,-121.0
610,-119.0
611,-139.0
612,-173.0
613,-63.0
614,-282.0
615,-135.0
616,-138.0
617,-87.0
618,-107.0
619,-86.0
620,-92.0
621,-145.0
622,-96.0
623,-183.0
624,-78.0
625,-77.0
626,-108.0
627,-79.0
628,-63.0
629,-94.0
630,-106.0
631,-92.0
632,-110.0
633,-104.0
634,-117.0
635,-71.0
636,-102.0
637,-145.0
638,-91.0
639,-115.0
640,-114.0
641,-76.0
642,-102.0
643,-115.0
644,-74.0
645,-98.0
646,-95.0
647,-74.0
648,-82.0
649,-94.0
650,-71.0
651,-140.0
652,-70.0
653,-133.0
654,-91.0
655,-97.0
656,-90.0
657,-94.0
658,-86.0
659,-70.0
660,-95.0
661,-144.0
662,-88.0
663,-72.0
664,-102.0
665,-72.0
666,-74.0
667,-72.0
668,-88.0
669,-83.0
670,-128.0
671,-107.0
672,-89.0
673,-88.0
674,-174.0
675,-152.0
676,-86.0
677,-77.0
678,-114.0
679,-90.0
680,-97.0
681,-71.0
682,-94.0
683,-77.0
684,-89.0
685,-94.0
686,-71.0
687,-85.0
688,-79.0
689,-98.0
690,-72.0
691,-127.0
692,-71.0
693,-71.0
