,cumulative rewards
0,17.0
1,13.0
2,11.0
3,18.0
4,42.0
5,67.0
6,36.0
7,18.0
8,22.0
9,22.0
10,15.0
11,39.0
12,22.0
13,33.0
14,18.0
15,54.0
16,40.0
17,29.0
18,9.0
19,12.0
20,38.0
21,54.0
22,36.0
23,14.0
24,14.0
25,64.0
26,42.0
27,47.0
28,115.0
29,81.0
30,37.0
31,53.0
32,49.0
33,32.0
34,30.0
35,175.0
36,30.0
37,46.0
38,61.0
39,35.0
40,140.0
41,63.0
42,88.0
43,166.0
44,161.0
45,39.0
46,116.0
47,251.0
48,175.0
49,351.0
50,215.0
51,170.0
52,153.0
53,156.0
54,139.0
55,209.0
56,251.0
57,258.0
58,228.0
59,280.0
60,215.0
61,231.0
62,339.0
63,149.0
64,262.0
65,188.0
66,180.0
67,212.0
68,213.0
69,244.0
70,311.0
71,251.0
72,275.0
73,253.0
74,280.0
75,304.0
76,334.0
77,397.0
78,464.0
79,587.0
80,606.0
81,303.0
82,345.0
83,775.0
84,748.0
85,558.0
86,553.0
87,527.0
88,481.0
89,518.0
90,404.0
91,389.0
92,421.0
93,389.0
94,347.0
95,263.0
96,262.0
97,315.0
98,238.0
99,109.0
100,17.0
101,14.0
102,32.0
103,196.0
104,431.0
105,507.0
106,569.0
107,432.0
108,549.0
109,624.0
110,262.0
111,503.0
112,603.0
113,817.0
114,684.0
115,606.0
116,872.0
117,77.0
118,513.0
119,652.0
120,491.0
121,480.0
122,462.0
123,439.0
124,403.0
125,451.0
126,442.0
127,383.0
128,396.0
129,441.0
130,80.0
131,345.0
132,245.0
133,476.0
134,596.0
135,554.0
136,596.0
137,74.0
138,61.0
139,468.0
140,353.0
141,31.0
142,570.0
143,455.0
144,422.0
145,498.0
146,357.0
147,483.0
148,409.0
149,430.0
150,121.0
151,453.0
152,444.0
153,470.0
154,471.0
155,556.0
156,624.0
157,147.0
158,631.0
159,714.0
160,866.0
161,124.0
162,76.0
163,37.0
164,13.0
165,618.0
166,633.0
167,487.0
168,670.0
169,772.0
170,143.0
171,849.0
172,214.0
173,98.0
174,347.0
175,241.0
176,315.0
177,288.0
178,561.0
179,43.0
180,156.0
181,953.0
182,325.0
183,83.0
184,545.0
185,888.0
186,544.0
187,20.0
188,61.0
189,833.0
190,61.0
191,34.0
192,68.0
193,154.0
194,44.0
195,63.0
196,493.0
197,449.0
198,383.0
199,141.0
200,330.0
201,106.0
202,931.0
203,688.0
204,99.0
205,86.0
206,84.0
207,66.0
208,259.0
209,288.0
210,268.0
211,160.0
212,379.0
213,33.0
214,140.0
215,450.0
216,150.0
217,129.0
218,48.0
219,19.0
220,34.0
221,70.0
222,48.0
223,293.0
224,498.0
225,271.0
226,390.0
227,307.0
228,805.0
229,241.0
230,127.0
231,123.0
232,331.0
233,114.0
234,498.0
235,136.0
236,53.0
237,13.0
238,708.0
239,964.0
240,767.0
241,732.0
242,288.0
243,874.0
244,53.0
245,22.0
246,227.0
247,848.0
248,180.0
249,605.0
250,220.0
251,504.0
252,669.0
253,928.0
254,491.0
255,21.0
256,39.0
257,511.0
258,544.0
259,507.0
260,344.0
261,945.0
262,162.0
263,798.0
264,141.0
265,170.0
266,233.0
267,455.0
268,89.0
269,348.0
270,125.0
271,34.0
272,552.0
273,272.0
274,403.0
275,516.0
276,588.0
277,236.0
278,168.0
279,134.0
280,202.0
281,563.0
282,881.0
283,362.0
284,983.0
285,947.0
286,614.0
287,888.0
288,818.0
289,880.0
290,157.0
291,928.0
292,273.0
293,966.0
294,183.0
295,44.0
296,109.0
297,38.0
298,64.0
299,83.0
300,134.0
301,542.0
302,682.0
303,374.0
304,893.0
305,54.0
306,139.0
307,81.0
308,61.0
309,84.0
310,691.0
311,311.0
312,92.0
313,91.0
314,819.0
315,809.0
316,115.0
317,71.0
318,166.0
319,31.0
320,27.0
321,723.0
322,626.0
323,388.0
324,535.0
325,96.0
326,70.0
327,275.0
328,121.0
329,349.0
330,709.0
331,772.0
332,739.0
333,237.0
334,13.0
335,93.0
336,534.0
337,86.0
338,19.0
339,52.0
340,20.0
341,44.0
342,41.0
343,87.0
344,44.0
345,103.0
346,442.0
347,259.0
348,454.0
349,149.0
350,857.0
351,811.0
352,48.0
353,150.0
354,842.0
355,381.0
356,361.0
357,562.0
358,547.0
359,89.0
360,99.0
361,276.0
362,622.0
363,916.0
364,977.0
365,446.0
366,583.0
367,83.0
368,795.0
369,921.0
370,112.0
371,657.0
372,238.0
373,77.0
374,149.0
375,96.0
376,592.0
377,933.0
378,231.0
379,580.0
380,140.0
381,482.0
382,133.0
383,204.0
384,205.0
385,553.0
386,890.0
387,96.0
388,11.0
389,75.0
390,11.0
391,251.0
392,152.0
393,263.0
394,515.0
395,421.0
396,552.0
397,185.0
398,695.0
399,53.0
400,629.0
401,86.0
402,850.0
403,732.0
404,246.0
405,250.0
406,332.0
407,605.0
408,230.0
409,381.0
410,12.0
411,342.0
412,262.0
413,792.0
414,115.0
415,206.0
416,29.0
417,211.0
418,144.0
419,311.0
420,392.0
421,506.0
422,513.0
423,803.0
424,381.0
425,43.0
426,839.0
427,467.0
428,365.0
429,437.0
430,771.0
431,598.0
432,11.0
433,497.0
434,132.0
435,108.0
436,498.0
437,203.0
438,941.0
439,744.0
440,243.0
441,372.0
442,13.0
443,655.0
444,264.0
445,377.0
446,233.0
447,170.0
448,558.0
449,259.0
450,365.0
451,310.0
452,937.0
453,162.0
454,130.0
455,145.0
456,485.0
457,186.0
458,555.0
459,283.0
460,105.0
461,265.0
462,164.0
463,732.0
464,112.0
