,cumulative rewards
0,-385.0
1,-697.0
2,-267.0
3,-167.0
4,-443.0
5,-374.0
6,-473.0
7,-418.0
8,-433.0
9,-393.0
10,-855.0
11,-466.0
12,-652.0
13,-257.0
14,-802.0
15,-558.0
16,-729.0
17,-356.0
18,-611.0
19,-172.0
20,-482.0
21,-513.0
22,-436.0
23,-885.0
24,-468.0
25,-524.0
26,-388.0
27,-950.0
28,-167.0
29,-321.0
30,-968.0
31,-454.0
32,-144.0
33,-611.0
34,-215.0
35,-866.0
36,-338.0
37,-809.0
38,-580.0
39,-499.0
40,-352.0
41,-304.0
42,-261.0
43,-888.0
44,-578.0
45,-348.0
46,-386.0
47,-135.0
48,-241.0
49,-192.0
50,-307.0
51,-236.0
52,-399.0
53,-321.0
54,-233.0
55,-190.0
56,-256.0
57,-177.0
58,-231.0
59,-143.0
60,-857.0
61,-375.0
62,-583.0
63,-172.0
64,-844.0
65,-268.0
66,-141.0
67,-243.0
68,-158.0
69,-627.0
70,-215.0
71,-223.0
72,-151.0
73,-155.0
74,-91.0
75,-157.0
76,-157.0
77,-819.0
78,-757.0
79,-221.0
80,-146.0
81,-96.0
82,-513.0
83,-159.0
84,-872.0
85,-161.0
86,-172.0
87,-116.0
88,-143.0
89,-145.0
90,-108.0
91,-145.0
92,-174.0
93,-219.0
94,-149.0
95,-157.0
96,-140.0
97,-144.0
98,-139.0
99,-139.0
100,-139.0
101,-136.0
102,-137.0
103,-140.0
104,-145.0
105,-147.0
106,-89.0
107,-147.0
108,-156.0
109,-166.0
110,-459.0
111,-195.0
112,-158.0
113,-156.0
114,-109.0
115,-108.0
116,-161.0
117,-110.0
118,-108.0
119,-142.0
120,-135.0
121,-142.0
122,-140.0
123,-138.0
124,-147.0
125,-155.0
126,-145.0
127,-157.0
128,-159.0
129,-153.0
130,-151.0
131,-268.0
132,-149.0
133,-144.0
134,-138.0
135,-110.0
136,-143.0
137,-148.0
138,-132.0
139,-135.0
140,-130.0
141,-137.0
142,-134.0
143,-137.0
144,-155.0
145,-150.0
146,-157.0
147,-161.0
148,-88.0
149,-159.0
150,-163.0
151,-237.0
152,-87.0
153,-166.0
154,-91.0
155,-91.0
156,-161.0
157,-183.0
158,-957.0
159,-277.0
160,-767.0
161,-88.0
162,-155.0
163,-153.0
164,-178.0
165,-159.0
166,-163.0
167,-158.0
168,-171.0
169,-138.0
170,-144.0
171,-140.0
172,-141.0
173,-85.0
174,-137.0
175,-138.0
176,-143.0
177,-139.0
178,-85.0
179,-142.0
180,-93.0
181,-143.0
182,-147.0
183,-147.0
184,-146.0
185,-148.0
186,-144.0
187,-90.0
188,-149.0
189,-154.0
190,-160.0
191,-243.0
192,-148.0
193,-141.0
194,-132.0
195,-149.0
196,-142.0
197,-147.0
198,-131.0
199,-120.0
200,-109.0
201,-86.0
202,-109.0
203,-90.0
204,-123.0
205,-104.0
206,-130.0
207,-123.0
208,-174.0
209,-171.0
210,-118.0
211,-249.0
212,-85.0
213,-154.0
214,-197.0
215,-168.0
216,-174.0
217,-207.0
218,-164.0
219,-156.0
220,-164.0
221,-151.0
222,-147.0
223,-156.0
224,-156.0
225,-176.0
226,-148.0
227,-185.0
228,-161.0
229,-152.0
230,-87.0
231,-85.0
232,-143.0
233,-145.0
234,-86.0
235,-146.0
236,-110.0
237,-111.0
238,-137.0
239,-86.0
240,-162.0
241,-143.0
242,-113.0
243,-113.0
244,-109.0
245,-104.0
246,-124.0
247,-113.0
248,-164.0
249,-144.0
250,-139.0
251,-114.0
252,-117.0
253,-110.0
254,-85.0
255,-154.0
256,-148.0
257,-154.0
258,-145.0
259,-147.0
260,-158.0
261,-127.0
262,-138.0
263,-112.0
264,-185.0
265,-172.0
266,-189.0
267,-156.0
268,-185.0
269,-172.0
270,-175.0
271,-146.0
272,-100.0
273,-91.0
274,-156.0
275,-195.0
276,-154.0
277,-148.0
278,-189.0
279,-100.0
280,-152.0
281,-148.0
282,-194.0
283,-120.0
284,-150.0
285,-143.0
286,-161.0
287,-148.0
288,-147.0
289,-162.0
290,-160.0
291,-135.0
292,-145.0
293,-147.0
294,-161.0
295,-146.0
296,-138.0
297,-112.0
298,-157.0
299,-151.0
300,-146.0
301,-113.0
302,-153.0
303,-84.0
304,-110.0
305,-147.0
306,-110.0
307,-127.0
308,-126.0
309,-142.0
310,-143.0
311,-132.0
312,-90.0
313,-128.0
314,-149.0
315,-96.0
316,-133.0
317,-146.0
318,-148.0
319,-185.0
320,-159.0
321,-154.0
322,-104.0
323,-90.0
324,-156.0
325,-167.0
326,-169.0
327,-147.0
328,-94.0
329,-151.0
330,-212.0
331,-159.0
332,-190.0
333,-180.0
334,-164.0
335,-89.0
336,-184.0
337,-137.0
338,-151.0
339,-160.0
340,-149.0
341,-139.0
342,-151.0
343,-148.0
344,-142.0
345,-141.0
346,-146.0
347,-140.0
348,-111.0
349,-137.0
350,-118.0
351,-155.0
352,-151.0
353,-114.0
354,-156.0
355,-112.0
356,-84.0
357,-141.0
358,-143.0
359,-135.0
360,-139.0
361,-89.0
362,-110.0
363,-154.0
364,-93.0
365,-118.0
366,-87.0
367,-154.0
368,-144.0
369,-139.0
370,-105.0
371,-141.0
372,-118.0
373,-100.0
374,-111.0
375,-117.0
376,-145.0
377,-147.0
378,-95.0
379,-170.0
380,-162.0
381,-177.0
382,-204.0
383,-89.0
384,-98.0
385,-182.0
386,-199.0
387,-170.0
388,-155.0
389,-175.0
390,-128.0
391,-165.0
392,-86.0
393,-93.0
394,-168.0
395,-128.0
396,-151.0
397,-94.0
398,-148.0
399,-157.0
400,-91.0
401,-142.0
402,-142.0
403,-142.0
404,-139.0
405,-148.0
406,-152.0
407,-146.0
408,-145.0
409,-87.0
410,-143.0
411,-87.0
412,-109.0
413,-109.0
414,-150.0
415,-92.0
416,-91.0
417,-112.0
418,-162.0
419,-144.0
420,-142.0
421,-147.0
422,-91.0
423,-151.0
424,-109.0
425,-92.0
426,-156.0
427,-151.0
428,-114.0
429,-113.0
430,-158.0
431,-121.0
432,-91.0
433,-144.0
434,-132.0
435,-97.0
436,-166.0
437,-176.0
438,-171.0
439,-91.0
440,-161.0
441,-164.0
442,-165.0
443,-97.0
444,-158.0
445,-165.0
446,-161.0
447,-85.0
448,-146.0
449,-89.0
450,-117.0
451,-149.0
452,-113.0
453,-159.0
454,-151.0
455,-157.0
456,-115.0
457,-105.0
458,-111.0
459,-157.0
460,-91.0
461,-162.0
462,-145.0
463,-97.0
464,-86.0
465,-147.0
466,-116.0
467,-111.0
468,-146.0
469,-112.0
470,-136.0
471,-153.0
472,-170.0
473,-88.0
474,-152.0
475,-160.0
476,-160.0
477,-157.0
478,-86.0
479,-87.0
480,-152.0
481,-147.0
482,-143.0
483,-97.0
484,-85.0
485,-151.0
486,-146.0
487,-113.0
488,-93.0
489,-151.0
490,-158.0
491,-155.0
492,-159.0
493,-148.0
494,-152.0
495,-162.0
496,-177.0
497,-162.0
498,-163.0
499,-86.0
500,-160.0
501,-179.0
502,-156.0
503,-90.0
504,-157.0
505,-115.0
506,-181.0
507,-155.0
508,-176.0
509,-124.0
510,-149.0
511,-129.0
512,-92.0
513,-159.0
514,-89.0
515,-159.0
516,-170.0
517,-160.0
518,-169.0
519,-164.0
520,-150.0
521,-122.0
522,-151.0
523,-152.0
524,-86.0
525,-149.0
526,-91.0
527,-87.0
528,-147.0
529,-91.0
530,-95.0
531,-88.0
532,-143.0
533,-88.0
534,-145.0
535,-143.0
536,-87.0
537,-125.0
538,-149.0
539,-126.0
540,-145.0
541,-99.0
542,-146.0
543,-139.0
544,-130.0
545,-85.0
546,-147.0
547,-150.0
548,-151.0
549,-146.0
550,-84.0
551,-118.0
552,-136.0
553,-153.0
554,-150.0
555,-146.0
556,-99.0
557,-84.0
558,-153.0
559,-151.0
560,-187.0
561,-109.0
562,-126.0
563,-148.0
564,-106.0
565,-114.0
566,-186.0
567,-168.0
568,-146.0
569,-159.0
570,-88.0
571,-166.0
572,-156.0
573,-154.0
574,-153.0
575,-88.0
576,-178.0
577,-160.0
578,-87.0
579,-162.0
580,-164.0
581,-156.0
582,-84.0
583,-147.0
584,-152.0
585,-149.0
586,-114.0
587,-165.0
588,-143.0
589,-148.0
590,-189.0
591,-161.0
592,-146.0
593,-93.0
594,-91.0
595,-145.0
596,-93.0
597,-86.0
598,-85.0
599,-154.0
600,-144.0
601,-148.0
602,-155.0
603,-102.0
604,-150.0
605,-117.0
606,-118.0
607,-84.0
608,-167.0
609,-164.0
610,-112.0
611,-89.0
612,-167.0
613,-166.0
614,-94.0
615,-149.0
616,-171.0
617,-153.0
618,-85.0
619,-173.0
620,-182.0
621,-89.0
622,-159.0
623,-163.0
624,-161.0
625,-198.0
626,-84.0
627,-168.0
628,-152.0
629,-150.0
630,-156.0
631,-155.0
632,-156.0
633,-163.0
634,-154.0
635,-149.0
636,-122.0
637,-157.0
638,-150.0
639,-115.0
640,-166.0
641,-94.0
642,-150.0
643,-152.0
644,-145.0
645,-146.0
646,-152.0
647,-110.0
648,-111.0
649,-157.0
650,-145.0
651,-112.0
652,-110.0
653,-113.0
654,-113.0
655,-144.0
656,-149.0
657,-109.0
658,-142.0
659,-141.0
660,-149.0
661,-147.0
662,-110.0
663,-109.0
664,-110.0
665,-87.0
666,-111.0
667,-251.0
668,-113.0
669,-170.0
670,-87.0
671,-116.0
672,-102.0
673,-151.0
674,-185.0
675,-157.0
676,-158.0
677,-113.0
678,-88.0
679,-100.0
680,-92.0
681,-195.0
