,rewards
0,16.0
1,10.0
2,15.0
3,18.0
4,34.0
5,13.0
6,19.0
7,9.0
8,9.0
9,14.0
10,10.0
11,13.0
12,11.0
13,10.0
14,10.0
15,10.0
16,9.0
17,10.0
18,10.0
19,12.0
20,9.0
21,12.0
22,10.0
23,10.0
24,12.0
25,8.0
26,10.0
27,9.0
28,10.0
29,9.0
30,13.0
31,11.0
32,9.0
33,10.0
34,10.0
35,10.0
36,13.0
37,8.0
38,11.0
39,10.0
40,9.0
41,11.0
42,9.0
43,10.0
44,10.0
45,9.0
46,9.0
47,9.0
48,10.0
49,10.0
50,9.0
51,10.0
52,10.0
53,9.0
54,9.0
55,10.0
56,10.0
57,9.0
58,11.0
59,12.0
60,10.0
61,10.0
62,8.0
63,10.0
64,11.0
65,10.0
66,8.0
67,10.0
68,9.0
69,8.0
70,9.0
71,8.0
72,9.0
73,9.0
74,10.0
75,11.0
76,11.0
77,8.0
78,11.0
79,10.0
80,9.0
81,10.0
82,10.0
83,11.0
84,10.0
85,10.0
86,12.0
87,9.0
88,10.0
89,9.0
90,9.0
91,13.0
92,8.0
93,10.0
94,9.0
95,10.0
96,10.0
97,9.0
98,11.0
99,9.0
100,11.0
101,9.0
102,10.0
103,10.0
104,10.0
105,11.0
106,11.0
107,9.0
108,10.0
109,9.0
110,11.0
111,9.0
112,10.0
113,10.0
114,11.0
115,11.0
116,8.0
117,9.0
118,10.0
119,9.0
120,10.0
121,9.0
122,11.0
123,10.0
124,11.0
125,9.0
126,9.0
127,8.0
128,10.0
129,9.0
130,14.0
131,12.0
132,12.0
133,13.0
134,10.0
135,12.0
136,11.0
137,11.0
138,13.0
139,11.0
140,16.0
141,10.0
142,13.0
143,13.0
144,14.0
145,26.0
146,12.0
147,17.0
148,33.0
149,11.0
150,15.0
151,20.0
152,20.0
153,12.0
154,53.0
155,34.0
156,45.0
157,67.0
158,82.0
159,39.0
160,56.0
161,68.0
162,97.0
163,32.0
164,37.0
165,37.0
166,40.0
167,45.0
168,45.0
169,121.0
170,32.0
171,88.0
172,120.0
173,155.0
174,259.0
175,171.0
176,104.0
177,176.0
178,106.0
179,262.0
180,186.0
181,122.0
182,233.0
183,205.0
184,200.0
185,183.0
186,108.0
187,123.0
188,208.0
189,164.0
190,156.0
191,371.0
192,198.0
193,329.0
194,357.0
195,246.0
196,447.0
197,241.0
198,246.0
199,261.0
200,270.0
201,218.0
202,682.0
203,246.0
204,186.0
205,215.0
206,292.0
207,439.0
208,252.0
209,79.0
210,180.0
211,181.0
212,57.0
213,16.0
214,43.0
215,24.0
216,20.0
217,25.0
218,21.0
219,41.0
220,33.0
221,16.0
222,27.0
223,93.0
224,95.0
225,21.0
226,29.0
227,62.0
228,107.0
229,28.0
230,36.0
231,120.0
232,149.0
233,64.0
234,45.0
235,66.0
236,55.0
237,137.0
238,174.0
239,74.0
240,333.0
241,163.0
242,79.0
243,204.0
244,209.0
245,332.0
246,39.0
247,142.0
248,285.0
249,109.0
250,198.0
251,230.0
252,113.0
253,52.0
254,109.0
255,338.0
256,220.0
257,136.0
258,335.0
259,316.0
260,150.0
261,123.0
262,108.0
263,151.0
264,114.0
265,157.0
266,71.0
267,105.0
268,150.0
269,140.0
270,138.0
271,175.0
272,187.0
273,335.0
274,411.0
275,376.0
276,283.0
277,239.0
278,185.0
279,341.0
280,324.0
281,280.0
282,373.0
283,134.0
284,184.0
285,215.0
286,318.0
287,277.0
288,149.0
289,537.0
290,205.0
291,250.0
292,128.0
293,234.0
294,236.0
295,210.0
296,152.0
297,131.0
298,172.0
299,448.0
300,215.0
301,190.0
302,144.0
303,62.0
304,516.0
305,180.0
306,232.0
307,199.0
308,187.0
309,371.0
310,191.0
