,cumulative rewards
0,-663
1,-593
2,-106
3,-241
4,-159
5,-182
6,-157
7,-302
8,-55
9,-154
10,9
11,-2
12,-188
13,-101
14,-63
15,-353
16,-130
17,-267
18,-65
19,-88
20,-168
21,-175
22,-138
23,-167
24,-3
25,-101
26,-84
27,-129
28,-184
29,-132
30,-52
31,-137
32,-137
33,-11
34,-135
35,-9
36,-292
37,-210
38,-177
39,-241
40,-151
41,11
42,-141
43,-42
44,-135
45,-51
46,-221
47,-21
48,-2
49,-62
50,-12
51,-122
52,-153
53,-239
54,-98
55,-83
56,-207
57,0
58,-128
59,-35
60,-9
61,-139
62,-210
63,-98
64,-111
65,-97
66,-194
67,-138
68,-104
69,-164
70,-36
71,-67
72,-219
73,-221
74,-144
75,-164
76,-24
77,-30
78,-178
79,4
80,-223
81,-286
82,-277
83,-22
84,-32
85,-90
86,-99
87,-186
88,-100
89,-111
90,-221
91,-197
92,-131
93,-89
94,-178
95,-234
96,-116
97,-31
98,-206
99,-116
100,-109
101,-154
102,-220
103,-336
104,-54
105,-86
106,-207
107,-147
108,-241
109,-257
110,-127
111,-127
112,-52
113,-65
114,-38
115,-139
116,-154
117,-207
118,-154
119,-133
120,-231
121,-2
122,-70
123,-66
124,7
125,-32
126,-32
127,-230
128,-150
129,-14
130,-184
131,-35
132,-250
133,-11
134,-110
135,-114
136,-117
137,-210
138,-204
139,-270
140,-179
141,-207
142,-158
143,-191
144,-60
145,-23
146,-206
147,-60
148,-170
149,-99
150,-117
151,-73
152,-163
153,-223
154,-230
155,-154
156,-179
157,-99
158,-260
159,-22
160,-89
161,-50
162,-204
163,-241
164,-213
165,-111
166,-168
167,-100
168,-32
169,-249
170,-52
171,-53
172,-89
173,-135
174,-33
175,-109
176,-181
177,-205
178,-81
179,-208
180,-223
181,-148
182,-112
183,-175
184,-33
185,-1
186,-127
187,-76
188,-158
189,-193
190,-95
191,-136
192,-184
193,-126
194,-169
195,-29
196,-133
197,-314
198,-146
199,-102
200,-170
201,10
202,-136
203,-128
204,-197
205,-196
206,-139
207,-69
208,-247
209,-122
210,-110
211,-212
212,-199
213,-210
214,-298
215,-235
216,-236
217,-144
218,-82
219,-205
220,-198
221,-205
222,-209
223,-219
224,-51
225,-105
226,-100
227,-218
228,-294
229,-116
230,-93
231,-167
232,-115
233,-276
234,-181
235,-206
236,-230
237,-52
238,-25
239,-314
240,-242
241,-141
242,-126
243,-230
244,-107
245,-156
246,-172
247,-136
248,-197
249,-243
250,-155
251,-45
252,-194
253,-199
254,-120
255,-124
256,-234
257,-106
258,3
259,-60
260,-206
261,-103
262,-223
263,-152
264,-49
265,-134
266,-146
267,-237
268,-130
269,-247
270,-85
271,-135
272,-265
273,-161
274,-215
275,-77
276,-164
277,-173
278,-210
279,-52
280,-174
281,-227
282,-100
283,8
284,-152
285,-13
286,-41
287,-181
288,-240
289,-183
290,-233
291,-129
292,-199
293,-91
294,-105
295,-67
296,-200
297,-132
298,-186
299,-78
300,-158
301,-90
302,-125
303,-94
304,-17
305,-224
306,-203
307,-154
308,-127
309,-28
310,-249
311,-275
312,-126
313,-194
314,-198
315,-141
316,-177
317,-87
318,-156
319,-150
320,-234
321,-177
322,-120
323,-60
324,-25
325,-57
326,-157
327,-117
328,-185
329,-175
330,-207
331,-105
332,-192
333,-95
334,-72
335,-229
336,-142
337,-84
338,-144
339,-232
340,-61
341,-151
342,-148
343,-138
344,-167
345,-76
346,-41
347,-186
348,-202
349,-212
350,-234
351,-90
352,-271
353,-189
354,-1
355,-157
356,-99
357,-203
358,-192
359,-3
360,-180
361,-102
362,-7
363,-231
364,-241
365,-139
366,-67
367,-57
368,-29
369,-172
370,-226
371,-172
372,-179
373,-261
374,-32
375,-118
376,-262
377,-143
378,-143
379,-173
380,-231
381,-83
382,-13
383,-180
384,-35
385,-133
386,-140
387,3
388,-142
389,-224
390,-105
391,-103
392,-26
393,-209
394,-258
395,-64
396,-78
397,-231
398,-20
399,-166
400,-140
401,-197
402,-133
403,-173
404,-166
405,-167
406,-258
407,-234
408,-213
