,reward per episode
0,-1000.0
1,-1000.0
2,-1000.0
3,-1000.0
4,-1000.0
5,-891.0
6,-835.0
7,-1000.0
8,-1000.0
9,-1000.0
10,-1000.0
11,-1000.0
12,-1000.0
13,-1000.0
14,-1000.0
15,-557.0
16,-1000.0
17,-1000.0
18,-1000.0
19,-1000.0
20,-772.0
21,-807.0
22,-1000.0
23,-1000.0
24,-1000.0
25,-1000.0
26,-1000.0
27,-1000.0
28,-1000.0
29,-1000.0
30,-860.0
31,-1000.0
32,-834.0
33,-1000.0
34,-636.0
35,-779.0
36,-645.0
37,-740.0
38,-1000.0
39,-729.0
40,-875.0
41,-909.0
42,-1000.0
43,-1000.0
44,-1000.0
45,-855.0
46,-1000.0
47,-1000.0
48,-1000.0
49,-764.0
50,-926.0
51,-1000.0
52,-1000.0
53,-976.0
54,-1000.0
55,-1000.0
56,-550.0
57,-768.0
58,-670.0
59,-894.0
60,-1000.0
61,-1000.0
62,-949.0
63,-343.0
64,-705.0
65,-1000.0
66,-647.0
67,-640.0
68,-776.0
69,-745.0
70,-514.0
71,-1000.0
72,-890.0
73,-1000.0
74,-447.0
75,-665.0
76,-549.0
77,-484.0
78,-485.0
79,-508.0
80,-668.0
81,-712.0
82,-445.0
83,-823.0
84,-1000.0
85,-814.0
86,-432.0
87,-400.0
88,-841.0
89,-503.0
90,-427.0
91,-425.0
92,-581.0
93,-445.0
94,-339.0
95,-386.0
96,-369.0
97,-936.0
98,-506.0
99,-439.0
100,-476.0
101,-375.0
102,-523.0
103,-570.0
104,-544.0
105,-506.0
106,-472.0
107,-390.0
108,-597.0
109,-564.0
110,-572.0
111,-556.0
112,-429.0
113,-663.0
114,-521.0
115,-613.0
116,-357.0
117,-797.0
118,-637.0
119,-392.0
120,-317.0
121,-831.0
122,-612.0
123,-364.0
124,-184.0
125,-416.0
126,-688.0
127,-681.0
128,-526.0
129,-305.0
130,-328.0
131,-195.0
132,-414.0
133,-421.0
134,-430.0
135,-301.0
136,-518.0
137,-396.0
138,-352.0
139,-386.0
140,-359.0
141,-661.0
142,-340.0
143,-690.0
144,-536.0
145,-309.0
146,-670.0
147,-264.0
148,-177.0
149,-364.0
150,-313.0
151,-235.0
152,-323.0
153,-518.0
154,-388.0
155,-250.0
156,-874.0
157,-380.0
158,-649.0
159,-487.0
160,-474.0
161,-616.0
162,-309.0
163,-479.0
164,-678.0
165,-514.0
166,-244.0
167,-531.0
168,-947.0
169,-461.0
170,-372.0
171,-301.0
172,-437.0
173,-323.0
174,-506.0
175,-335.0
176,-394.0
177,-498.0
178,-311.0
179,-356.0
180,-320.0
181,-454.0
182,-398.0
183,-265.0
184,-295.0
185,-387.0
186,-271.0
187,-321.0
188,-420.0
189,-357.0
190,-487.0
191,-433.0
192,-565.0
193,-241.0
194,-332.0
195,-358.0
196,-339.0
197,-258.0
198,-345.0
199,-385.0
200,-292.0
201,-386.0
202,-555.0
203,-364.0
204,-389.0
205,-224.0
206,-281.0
207,-195.0
208,-253.0
209,-364.0
210,-385.0
211,-200.0
212,-216.0
213,-444.0
214,-378.0
215,-481.0
216,-346.0
217,-252.0
218,-522.0
219,-262.0
220,-369.0
221,-266.0
222,-443.0
223,-336.0
224,-347.0
225,-255.0
226,-425.0
227,-484.0
228,-270.0
229,-220.0
230,-246.0
231,-371.0
232,-538.0
233,-319.0
234,-645.0
235,-260.0
236,-446.0
237,-386.0
238,-548.0
239,-374.0
240,-566.0
241,-346.0
242,-312.0
243,-229.0
244,-190.0
245,-619.0
246,-236.0
247,-509.0
248,-459.0
249,-312.0
250,-224.0
251,-276.0
252,-250.0
253,-388.0
254,-290.0
255,-354.0
256,-480.0
257,-204.0
258,-349.0
259,-350.0
260,-342.0
261,-327.0
262,-592.0
263,-239.0
264,-301.0
265,-316.0
266,-252.0
267,-309.0
268,-342.0
269,-198.0
270,-298.0
271,-318.0
272,-799.0
273,-296.0
274,-318.0
275,-356.0
276,-217.0
277,-194.0
278,-376.0
279,-358.0
280,-327.0
281,-417.0
282,-207.0
283,-218.0
284,-439.0
285,-256.0
286,-504.0
287,-260.0
288,-224.0
289,-154.0
290,-245.0
291,-383.0
292,-366.0
293,-485.0
294,-296.0
295,-411.0
296,-264.0
297,-287.0
298,-260.0
299,-293.0
300,-292.0
301,-251.0
302,-185.0
303,-254.0
304,-221.0
305,-431.0
306,-282.0
307,-340.0
308,-204.0
309,-465.0
310,-272.0
311,-325.0
312,-170.0
313,-168.0
314,-342.0
315,-350.0
316,-205.0
317,-275.0
318,-189.0
319,-152.0
320,-420.0
321,-330.0
322,-227.0
323,-283.0
324,-340.0
325,-336.0
326,-275.0
327,-263.0
328,-394.0
329,-210.0
330,-355.0
331,-227.0
332,-249.0
333,-356.0
334,-266.0
335,-493.0
336,-245.0
337,-234.0
338,-258.0
339,-238.0
340,-169.0
341,-297.0
342,-225.0
343,-306.0
344,-267.0
345,-262.0
346,-284.0
347,-336.0
348,-284.0
349,-355.0
350,-190.0
351,-366.0
352,-374.0
353,-292.0
354,-265.0
355,-121.0
356,-153.0
357,-137.0
358,-280.0
359,-187.0
360,-185.0
361,-434.0
362,-346.0
363,-238.0
364,-176.0
365,-257.0
366,-251.0
367,-205.0
368,-351.0
369,-286.0
370,-196.0
371,-275.0
372,-211.0
373,-467.0
374,-206.0
375,-245.0
376,-285.0
377,-228.0
378,-334.0
379,-221.0
380,-254.0
381,-275.0
382,-211.0
383,-199.0
384,-276.0
385,-363.0
386,-174.0
387,-214.0
388,-183.0
389,-188.0
390,-221.0
391,-229.0
392,-165.0
393,-241.0
394,-214.0
395,-241.0
396,-199.0
397,-314.0
398,-185.0
399,-205.0
400,-234.0
401,-250.0
402,-175.0
403,-209.0
404,-281.0
405,-245.0
406,-250.0
407,-342.0
408,-204.0
409,-272.0
410,-282.0
411,-157.0
412,-186.0
413,-140.0
414,-191.0
415,-228.0
416,-325.0
417,-227.0
418,-185.0
419,-119.0
420,-360.0
421,-246.0
422,-163.0
423,-302.0
424,-172.0
425,-300.0
426,-253.0
427,-191.0
428,-234.0
429,-248.0
430,-189.0
431,-212.0
432,-293.0
433,-164.0
434,-301.0
435,-232.0
436,-169.0
437,-249.0
438,-211.0
439,-140.0
440,-199.0
441,-260.0
442,-254.0
443,-217.0
444,-164.0
445,-282.0
446,-206.0
447,-213.0
448,-152.0
449,-283.0
450,-204.0
451,-200.0
452,-214.0
453,-226.0
454,-339.0
455,-208.0
456,-314.0
457,-262.0
458,-293.0
459,-169.0
460,-217.0
461,-525.0
462,-251.0
463,-236.0
464,-226.0
465,-277.0
466,-199.0
467,-191.0
468,-201.0
