,reward per episode
0,26.0
1,12.0
2,9.0
3,63.0
4,24.0
5,32.0
6,22.0
7,36.0
8,33.0
9,23.0
10,22.0
11,20.0
12,24.0
13,22.0
14,24.0
15,17.0
16,9.0
17,17.0
18,13.0
19,15.0
20,57.0
21,11.0
22,44.0
23,12.0
24,22.0
25,17.0
26,76.0
27,16.0
28,30.0
29,25.0
30,10.0
31,13.0
32,11.0
33,25.0
34,12.0
35,12.0
36,75.0
37,23.0
38,13.0
39,27.0
40,34.0
41,27.0
42,41.0
43,21.0
44,11.0
45,78.0
46,22.0
47,30.0
48,24.0
49,27.0
50,26.0
51,26.0
52,17.0
53,12.0
54,15.0
55,17.0
56,31.0
57,17.0
58,10.0
59,33.0
60,17.0
61,28.0
62,27.0
63,19.0
64,79.0
65,13.0
66,17.0
67,17.0
68,16.0
69,22.0
70,34.0
71,15.0
72,23.0
73,13.0
74,12.0
75,72.0
76,24.0
77,23.0
78,20.0
79,21.0
80,19.0
81,47.0
82,18.0
83,16.0
84,15.0
85,39.0
86,19.0
87,63.0
88,44.0
89,13.0
90,31.0
91,13.0
92,30.0
93,13.0
94,43.0
95,29.0
96,24.0
97,29.0
98,20.0
99,16.0
100,12.0
101,37.0
102,35.0
103,44.0
104,25.0
105,30.0
106,18.0
107,10.0
108,24.0
109,21.0
110,15.0
111,60.0
112,12.0
113,24.0
114,21.0
115,17.0
116,24.0
117,47.0
118,13.0
119,23.0
120,14.0
121,53.0
122,27.0
123,19.0
124,19.0
125,21.0
126,17.0
127,14.0
128,15.0
129,15.0
130,13.0
131,26.0
132,36.0
133,38.0
134,39.0
135,66.0
136,38.0
137,15.0
138,12.0
139,52.0
140,17.0
141,30.0
142,11.0
143,22.0
144,33.0
145,18.0
146,23.0
147,47.0
148,16.0
149,17.0
150,29.0
151,43.0
152,13.0
153,50.0
154,40.0
155,75.0
156,27.0
157,45.0
158,17.0
159,31.0
160,14.0
161,21.0
162,11.0
163,35.0
164,29.0
165,37.0
166,68.0
167,66.0
168,36.0
169,36.0
170,22.0
171,19.0
172,35.0
173,12.0
174,36.0
175,24.0
176,36.0
177,16.0
178,14.0
179,26.0
180,43.0
181,41.0
182,10.0
183,20.0
184,36.0
185,28.0
186,14.0
187,45.0
188,22.0
189,49.0
190,37.0
191,14.0
192,23.0
193,18.0
194,47.0
195,22.0
196,13.0
197,39.0
198,17.0
199,16.0
200,24.0
201,27.0
202,67.0
203,26.0
204,42.0
205,56.0
206,57.0
207,24.0
208,14.0
209,29.0
210,45.0
211,11.0
212,30.0
213,56.0
214,23.0
215,55.0
216,14.0
217,74.0
218,60.0
219,32.0
220,22.0
221,37.0
222,53.0
223,49.0
224,17.0
225,28.0
226,17.0
227,43.0
228,40.0
229,51.0
230,17.0
231,21.0
232,49.0
233,16.0
234,36.0
235,31.0
236,82.0
237,17.0
238,22.0
239,23.0
240,44.0
241,29.0
242,26.0
243,73.0
244,33.0
245,19.0
246,27.0
247,18.0
248,38.0
249,47.0
250,43.0
251,39.0
252,42.0
253,48.0
254,30.0
255,32.0
256,32.0
257,43.0
258,62.0
259,85.0
260,25.0
261,19.0
262,61.0
263,182.0
264,67.0
265,11.0
266,33.0
267,45.0
268,69.0
269,61.0
270,51.0
271,18.0
272,26.0
