,reward per episode
0,-4274.6915616694005
1,-8302.509309412417
2,-5120.15706071286
3,-7179.378612426883
4,-4703.2716388679155
5,-6136.1812009553105
6,-4340.426350502013
7,-5961.764647994311
8,-5537.020435674639
9,-5038.972783996113
10,-8032.340173987886
11,-7916.854182586107
12,-5391.389147230791
13,-6160.940356989762
14,-8199.977963390707
15,-4870.836510700016
16,-6756.82380674578
17,-7622.198089104434
18,-7154.46734233861
19,-8800.34653422281
20,-5305.217193539295
21,-6010.3022941788095
22,-4882.352311547899
23,-6281.3206739941415
24,-5576.77575957563
25,-7896.117412155221
26,-8279.127534136318
27,-8755.221948223256
28,-7149.956514909118
29,-5787.76112016743
30,-6140.903418068586
31,-8116.303223710166
32,-7766.062915029307
33,-5816.686637778707
34,-6904.717363895826
35,-7218.763423463893
36,-7389.97143536446
37,-8164.485861150055
38,-6665.810359441925
39,-6261.680063685137
40,-7616.886829607287
41,-8544.933033029505
42,-7401.863826366514
43,-6492.961455523746
44,-8030.774071996526
45,-6407.112058421243
46,-8484.64742236445
47,-7531.525200526476
48,-6895.553929729046
49,-4619.767898560724
50,-6418.703525722305
51,-7456.285523243199
52,-4624.804275274102
53,-6888.852654689729
54,-8252.42056977407
55,-7455.2430023739325
56,-6216.890197172124
57,-7302.8383040888275
58,-6855.365052652625
59,-7612.1470182272005
60,-6696.930128619675
61,-8968.932247453335
62,-5256.290673419887
63,-5130.1244698119
64,-7393.002423297082
65,-6827.978851904382
66,-7906.776773506529
67,-6528.2596095745
68,-5456.581779755053
69,-7375.251889529542
70,-7121.605258730976
71,-8869.903669608013
72,-7262.904852203478
73,-6943.914964887682
74,-7133.954497428807
75,-7140.535187575204
76,-5931.313149269487
77,-7677.716014841335
78,-7203.7089161565145
79,-5971.452789645591
80,-6371.984548191526
81,-5827.5684590129495
82,-8012.880915710496
83,-6761.314178892323
84,-6855.364591845665
85,-7735.681876209022
86,-7014.402863321487
87,-5935.1431861556985
88,-6102.686208281467
89,-4728.178064139119
90,-6142.02883902023
91,-6692.372567915071
92,-4326.774455256554
93,-6593.050920689837
94,-8529.518253986047
95,-7278.813243982474
96,-4973.979299715674
97,-5579.401108247249
98,-5472.454321517483
99,-6003.169784291315
100,-6568.706718402708
101,-4765.9998683306685
102,-8314.398435875548
103,-4948.766831217134
104,-7240.998081360956
105,-5665.931347871587
106,-6213.107656001234
107,-7910.033152694521
108,-4599.763569079119
109,-7021.297487979063
110,-6220.131445029291
111,-5797.878035252666
112,-7082.514290139308
113,-4470.038559063039
114,-8426.651710481376
115,-7834.67883036598
116,-8192.427425281761
117,-7988.779334759249
118,-4127.46541848749
119,-5780.442481144871
120,-5462.808276163807
121,-5128.940854465021
122,-6693.977883702712
123,-7530.514790268372
124,-5889.05812840813
125,-5728.57234292271
126,-5651.9535792455135
127,-5332.021676752187
128,-7069.13723160862
129,-8190.948600129819
130,-7353.271098810921
131,-7384.050604726719
132,-6275.088258531768
133,-5201.782853281591
134,-5125.086809418321
135,-8426.492070824053
136,-8617.355799841906
137,-6268.1610228631
138,-6875.341154915465
139,-6266.96312717416
140,-6797.171729096448
141,-6638.848457367802
142,-6638.692824823707
143,-5448.774774575652
144,-5421.772088347009
145,-6990.520906242828
146,-7676.823942429695
147,-6785.611586370243
148,-6553.5569225887175
149,-6914.319018013701
150,-6609.089379356592
151,-4761.4283642078635
152,-6550.296151372316
153,-5110.48134672661
154,-4652.818328363306
155,-5796.262612260015
156,-5969.9633650584665
157,-7921.090351392306
158,-6621.90078197536
159,-6297.790202181817
160,-4915.585772240235
161,-7510.750575967567
162,-7395.180925085895
163,-5376.605386328166
164,-4607.029865421668
165,-5192.757627594108
166,-5652.677392436145
167,-4784.128369643295
168,-4505.9318492012735
169,-7986.902878721137
170,-5799.358851904572
171,-7880.456450888707
172,-5042.504204565004
173,-5552.081432537947
174,-5265.656028563291
175,-6119.808533938604
176,-5794.2226190954025
177,-7868.6548334148565
178,-7086.5383434797195
179,-5215.187469745833
180,-5747.586242422694
181,-4899.923817843156
182,-4591.791027481696
183,-5224.934595314987
184,-8635.275899552038
185,-7844.142737249712
186,-4470.089856587117
187,-7099.083097647624
188,-7591.3612432154
189,-4744.116406674576
190,-6885.548241886221
191,-6094.480236482016
192,-4847.3833383608935
193,-4731.047353668522
194,-6364.31664013095
195,-8533.431144763757
196,-7463.327426749229
197,-8937.420347546882
198,-8292.944860749994
199,-4444.709963571777
200,-6892.235432712877
201,-5353.848652820982
202,-4922.981889273119
203,-4772.270067198708
204,-5643.283346667206
205,-4605.246513129367
206,-5490.152479678629
207,-5360.7943619647685
208,-5157.66541558184
